2012-02-13T22:21:08.071+0000: 125823.124: [GC [PSYoungGen: 34368K->560K(34944K)] 71733K->38209K(75904K), 0.0057280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T22:36:14.155+0000: 126729.208: [GC [PSYoungGen: 34608K->296K(34944K)] 72257K->38229K(75904K), 0.0043160 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T22:50:19.943+0000: 127574.996: [GC [PSYoungGen: 34344K->568K(34944K)] 72277K->38505K(75904K), 0.0049820 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T23:07:27.081+0000: 128602.135: [GC [PSYoungGen: 34616K->336K(34944K)] 72553K->38525K(75904K), 0.0043550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T23:22:33.402+0000: 129508.455: [GC [PSYoungGen: 34384K->560K(34944K)] 72573K->39033K(75904K), 0.0051380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T23:36:39.374+0000: 130354.428: [GC [PSYoungGen: 34608K->296K(34944K)] 73081K->39053K(75904K), 0.0042860 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2012-02-13T23:51:45.682+0000: 131260.735: [GC [PSYoungGen: 34344K->552K(34944K)] 73101K->39313K(75904K), 0.0040860 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-14T00:07:52.527+0000: 132227.581: [GC [PSYoungGen: 34600K->595K(34944K)] 73361K->39609K(75904K), 0.0047480 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-14T00:21:58.522+0000: 133073.575: [GC [PSYoungGen: 34643K->560K(34944K)] 73657K->40119K(75904K), 0.0056680 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2012-02-14T00:37:04.842+0000: 133979.895: [GC [PSYoungGen: 34608K->296K(34944K)] 74167K->40139K(75904K), 0.0041910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-14T00:51:10.711+0000: 134825.764: [GC [PSYoungGen: 34344K->560K(34944K)] 74187K->40411K(75904K), 0.0041080 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-14T01:08:17.952+0000: 135853.006: [GC [PSYoungGen: 34608K->328K(34944K)] 74459K->40431K(75904K), 0.0042390 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-14T01:22:23.947+0000: 136699.000: [GC [PSYoungGen: 34376K->568K(35008K)] 74479K->40955K(75968K), 0.0054280 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-14T01:37:30.172+0000: 137605.226: [GC [PSYoungGen: 34744K->296K(35008K)] 75131K->40967K(75968K), 0.0043790 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-14T01:37:30.177+0000: 137605.230: [Full GC [PSYoungGen: 296K->0K(35008K)] [ParOldGen: 40671K->22563K(41984K)] 40967K->22563K(76992K) [PSPermGen: 43599K->43202K(65536K)], 0.3779410 secs] [Times: user=0.42 sys=0.00, real=0.40 secs] 
2012-02-14T01:51:36.618+0000: 138451.671: [GC [PSYoungGen: 34176K->720K(34880K)] 56739K->23283K(76864K), 0.0059460 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-14T02:07:43.492+0000: 139418.545: [GC [PSYoungGen: 34768K->392K(34944K)] 57331K->23659K(76928K), 0.0057680 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-14T02:22:49.648+0000: 140324.701: [GC [PSYoungGen: 34440K->608K(34944K)] 57707K->24227K(76928K), 0.0048010 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-14T02:36:55.511+0000: 141170.565: [GC [PSYoungGen: 34656K->336K(34944K)] 58275K->24291K(76928K), 0.0039110 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-14T02:51:01.318+0000: 142016.371: [GC [PSYoungGen: 34384K->608K(34944K)] 58339K->24619K(76928K), 0.0042520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-14T03:08:08.585+0000: 143043.639: [GC [PSYoungGen: 34656K->384K(34944K)] 58667K->24699K(76928K), 0.0041300 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-14T03:22:14.498+0000: 143889.551: [GC [PSYoungGen: 34432K->632K(34944K)] 58747K->25291K(76928K), 0.0049730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-14T03:37:20.768+0000: 144795.822: [GC [PSYoungGen: 34680K->328K(34944K)] 59339K->25339K(76928K), 0.0036640 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-14T03:50:00.414+0000: 145555.467: [GC [PSYoungGen: 34368K->744K(34816K)] 59379K->25815K(76800K), 0.0040730 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-14T04:04:32.201+0000: 146427.254: [GC [PSYoungGen: 34664K->352K(34880K)] 59735K->25795K(76864K), 0.0044870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-14T04:18:38.151+0000: 147273.204: [GC [PSYoungGen: 34272K->288K(34944K)] 59715K->26051K(76928K), 0.0039060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-14T04:32:43.984+0000: 148119.037: [GC [PSYoungGen: 34272K->576K(34880K)] 60035K->26347K(76864K), 0.0037970 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-14T04:49:51.300+0000: 149146.353: [GC [PSYoungGen: 34560K->328K(34944K)] 60331K->26353K(76928K), 0.0038270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-14T05:02:56.849+0000: 149931.903: [GC [PSYoungGen: 34376K->568K(34944K)] 60401K->26601K(76928K), 0.0038590 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-14T05:18:03.201+0000: 150838.254: [GC [PSYoungGen: 34616K->288K(34944K)] 60649K->26613K(76928K), 0.0036400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-14T05:32:09.052+0000: 151684.105: [GC [PSYoungGen: 34336K->576K(34944K)] 60661K->26905K(76928K), 0.0036950 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-14T05:48:15.776+0000: 152650.829: [GC [PSYoungGen: 34624K->336K(34944K)] 60953K->26917K(76928K), 0.0038590 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
